Hat Kodu,Gun,Saat,Konum Bilgisi,Personel Sicili,Surucu Performans Puani,Target
2,4,15,64,317104,82,1
1,4,46,73,641393,88.48,0
1,2,15,2,610011,83.48,0
1,3,32,1,640439,87.4,1
1,3,44,23,641033,95,1
2,6,20,33,318322,96.4,1
1,6,21,33,641521,95,1
1,1,36,59,641253,93.63,0
1,7,23,2,317597,88.48,0
2,7,31,24,611013,79.28,0
2,2,15,74,317317,100,1
1,2,15,1,317312,96.4,1
1,3,30,22,640533,85.51,0
1,3,48,56,641310,94,1
1,6,48,18,640802,91.4,1
2,3,16,68,318168,87.8,0
1,3,21,67,318286,87.8,1
1,4,14,62,318168,87.8,0
1,5,15,73,316837,83.48,1
1,7,42,73,640289,87.8,1
1,2,2,2,316501,92.8,0
1,3,24,17,640829,88.35,1
2,3,27,43,318194,91.4,1
1,3,24,17,640829,88.35,1
2,4,24,42,641373,83.48,0
1,5,11,73,640387,91.4,0
2,5,15,76,318249,95,1
1,2,29,16,610803,76.46,1
1,2,29,16,610803,76.46,1
1,3,42,43,610011,85.6,1
1,4,2,73,315843,87.8,1
1,4,2,86,316501,92.8,1
2,6,17,46,318039,83.48,0
1,7,27,4,640438,100,0
1,7,33,22,318316,81.52,0
1,6,24,16,640212,74.36,1
2,7,19,42,316810,89.65,1
1,7,22,43,318374,81.38,1
1,7,40,60,640289,87.8,1
1,7,41,60,640538,91.4,1
1,3,24,1,640771,95,1
1,1,20,73,611430,93.59,1
1,1,21,73,314787,88.72,1
2,3,23,74,314215,93,1
1,4,12,2,640077,87.8,1
1,6,34,74,640157,94.91,0
2,6,40,2,316964,88.48,0
1,1,21,1,640183,87.8,1
2,2,2,84,316885,88.48,0
2,3,13,24,641033,82.48,0
2,5,23,74,317696,95,1
1,5,42,86,640054,96.4,0
1,7,37,1,316707,96.4,1
1,3,33,5,640877,89.41,1
1,3,33,5,317320,95,1
1,1,38,73,317167,95,1
1,2,21,23,315263,95,1
2,4,21,29,317112,96.4,1
1,6,31,1,317149,89.4,1
1,6,37,1,611229,94,1
1,3,24,1,640730,100,1
2,6,31,73,640137,89.93,1
1,6,20,43,610560,95,1
2,6,20,43,640511,89.98,1
1,3,39,2,640016,80.6,1
1,1,26,1,640251,95,1
1,3,39,2,315747,91.4,1
2,3,39,51,640780,91.4,1
1,1,28,1,641310,95,1
1,1,28,1,640474,91.4,1
2,3,18,67,317683,95,1
1,3,19,67,317388,91.4,1
2,7,18,87,641529,95,1
2,7,18,87,317049,90.9,1
1,3,14,47,610901,90.95,1
1,3,15,47,317711,96.4,1
1,4,18,45,318070,94.7,1
2,4,41,74,640289,95,1
1,3,17,1,316653,96.4,1
2,3,29,77,316753,88.3,1
1,3,40,31,641533,96.4,1
2,1,34,87,610599,91.4,1
1,7,44,22,318258,95,1
1,5,15,73,316541,96.4,1
2,7,24,31,317629,80.6,1
1,3,18,3,640086,97.03,1
1,4,28,38,640745,95,1
1,3,47,56,640538,81.48,0
1,2,20,61,640347,95,1
